Folder Path,File Count,Folder Count,.adt,.anim,.blob,.blp,.bls,.db,.dbc,.delete,.m2,.mp3,.not,.skin,.test,.trs,.txt,.uvw,.wav,.wdl,.wdt,.wfx,.what,.wmo,.wtf,[NO_EXTENSION]
C:\Users\ehsra\Documents\GitHub\WMVxTOPNG\ModelsTree,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3
C:\Users\ehsra\Documents\GitHub\WMVxTOPNG\ModelsTree\Cameras,40,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\ehsra\Documents\GitHub\WMVxTOPNG\ModelsTree\Character,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\ehsra\Documents\GitHub\WMVxTOPNG\ModelsTree\Character\BloodElf,13,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\ehsra\Documents\GitHub\WMVxTOPNG\ModelsTree\Character\BloodElf\Female,515,0,0,45,0,464,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0
C:\Users\ehsra\Documents\GitHub\WMVxTOPNG\ModelsTree\Character\BloodElf\Male,519,0,0,46,0,468,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\ehsra\Documents\GitHub\WMVxTOPNG\ModelsTree\Character\BROKEN,10,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\ehsra\Documents\GitHub\WMVxTOPNG\ModelsTree\Character\BROKEN\Female,44,0,0,42,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\ehsra\Documents\GitHub\WMVxTOPNG\ModelsTree\Character\BROKEN\Male,73,0,0,45,0,25,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\ehsra\Documents\GitHub\WMVxTOPNG\ModelsTree\Character\Draenei,10,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\ehsra\Documents\GitHub\WMVxTOPNG\ModelsTree\Character\Draenei\Female,640,0,0,88,0,543,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\ehsra\Documents\GitHub\WMVxTOPNG\ModelsTree\Character\Draenei\Male,723,0,0,88,0,626,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\ehsra\Documents\GitHub\WMVxTOPNG\ModelsTree\Character\Dwarf,247,2,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\ehsra\Documents\GitHub\WMVxTOPNG\ModelsTree\Character\Dwarf\Female,479,0,0,44,0,430,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\ehsra\Documents\GitHub\WMVxTOPNG\ModelsTree\Character\Dwarf\Male,478,0,0,46,0,427,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\ehsra\Documents\GitHub\WMVxTOPNG\ModelsTree\Character\FelOrc,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\ehsra\Documents\GitHub\WMVxTOPNG\ModelsTree\Character\FelOrc\Female,51,0,0,46,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\ehsra\Documents\GitHub\WMVxTOPNG\ModelsTree\Character\FelOrc\Male,159,0,0,138,0,12,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
